"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         39,           0,          20,           3.6e-06,             1e-07,      -3.114955184,      0.4820903255,      0.6845343754,       2.414225017,     0.04895597319,       2.810490843
         39,           0,          29,           3.6e-06,             1e-07,      -2.965991155,      0.6661615873,      0.8705868716,       2.571082482,     0.01939717328,       2.978203952
         40,           0,           0,           3.7e-06,             1e-07,      -2.238804793,      0.6785044726,      0.8004794001,       3.143728815,       1.943158743,       3.775827386
         40,           0,          10,           3.7e-06,             1e-07,      -2.892097101,      0.7506318678,      0.9552361555,       2.652996953,      0.1813862397,       3.052273128
         40,           0,          20,           3.7e-06,             1e-07,      -2.774482492,      0.8952470559,       1.100885715,       2.781223065,      0.1503318899,       3.174184416
         40,           0,          29,           3.7e-06,             1e-07,      -2.712446024,      0.9963338084,       1.201763121,       2.847275026,       0.169898823,       3.265824368
         41,           0,           0,           3.8e-06,             1e-07,      -2.209934057,      0.9422185954,        1.12892344,       3.192722686,       1.942784822,       3.767595228
         41,           0,          10,           3.8e-06,             1e-07,      -2.685749035,       0.993349043,       1.197335701,       2.881624027,      0.2719474628,       3.289181264
         41,           0,          20,           3.8e-06,             1e-07,       -2.63607494,       1.050525304,       1.255759043,       2.935998759,      0.2501275538,        3.33327404
         41,           0,          29,           3.8e-06,             1e-07,      -2.627265858,       1.102368562,       1.304912425,       2.940880187,      0.2589166825,       3.379697242
         42,           0,           0,           3.9e-06,             1e-07,      -2.187197562,       1.077505715,       1.273050134,        3.22865337,       1.942519352,       3.764147446
         42,           0,          10,           3.9e-06,             1e-07,      -2.598070977,       1.099246803,       1.303880027,       2.977078172,      0.3490245844,       3.411057031
         42,           0,          20,           3.9e-06,             1e-07,      -2.571337531,       1.127551124,       1.332495558,       3.005248337,      0.3309072587,       3.434644177
         42,           0,          29,           3.9e-06,             1e-07,      -2.583569535,       1.158615665,       1.360209461,       2.989913226,      0.3315965958,        3.45926038
         43,           0,           0,             4e-06,             1e-07,      -2.175247637,       1.145685367,       1.344273683,       3.248411173,        1.94240283,       3.766536238
         43,           0,          10,             4e-06,             1e-07,      -2.549999656,       1.155725207,       1.360030374,       3.027336421,      0.4191669946,       3.492621176
         43,           0,          20,             4e-06,             1e-07,      -2.535638651,       1.172180733,       1.376773159,       3.041900865,      0.4056960933,        3.50712231
         43,           0,          29,             4e-06,             1e-07,      -2.556855646,       1.194548968,       1.395458779,       3.017448888,      0.4043456132,       3.522743117
         44,           0,           0,           4.1e-06,             1e-07,      -2.168951648,       1.185793941,       1.385579365,       3.260104617,       1.942399739,       3.775875132
         44,           0,          10,           4.1e-06,             1e-07,        -2.5187201,       1.187223594,       1.390774752,        3.05673018,      0.4710994767,       3.547153851
         44,           0,          20,           4.1e-06,             1e-07,      -2.508401927,        1.19715263,       1.400219901,       3.064961283,      0.4557562617,        3.55341267
         44,           0,          29,           4.1e-06,             1e-07,      -2.529482344,       1.215738516,        1.41497401,         3.0414626,      0.4564415654,        3.56751506
         45,           0,           0,           4.2e-06,             1e-07,       -2.16338748,       1.210163073,        1.40897624,       3.270767504,       1.942502376,       3.789051894
         45,           0,          10,           4.2e-06,             1e-07,      -2.491381374,       1.209613957,       1.411826778,        3.07990677,      0.5044832086,       3.585257295
         45,           0,          20,           4.2e-06,             1e-07,      -2.477486615,       1.219180722,       1.420428535,       3.090842153,       0.493032035,       3.596132784
         45,           0,          29,           4.2e-06,             1e-07,      -2.498130425,       1.237302016,       1.434251376,       3.068044396,      0.4939030317,        3.60861825
