"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         183,      -2.049995556,      0.6297223636,      0.1278009647,       3.379384254,     -0.9775428582,       4.771997423
          0,           0,         184,      -2.054659667,      0.6253767622,       0.129047382,       3.374523255,     -0.9815851313,       4.769491126
          0,           0,         185,      -2.059446804,      0.6209967872,      0.1304084894,       3.369477053,     -0.9855924467,        4.76677947
          0,           0,         186,      -2.064350665,      0.6165951458,       0.131870096,       3.364250616,      -0.989568509,       4.764552704
          0,           0,         187,      -2.069364119,      0.6121827045,       0.133418876,       3.358849766,     -0.9935098951,       4.761492914
          0,           0,         188,      -2.074479485,      0.6077732586,      0.1350414499,       3.353280827,     -0.9974181625,        4.75913891
          0,           0,         189,      -2.079688963,      0.6033781682,       0.136725217,       3.347550169,       -1.00129393,        4.75568121
          0,           0,         190,      -2.084983974,      0.5990111159,      0.1384570394,       3.341665058,      -1.005139372,       4.752713486
          0,           0,         191,      -2.090355207,      0.5946847851,       0.140225877,        3.33563336,      -1.008956495,       4.749484801
          0,           0,         192,      -2.095792733,      0.5904121145,      0.1420205509,        3.32946369,      -1.012747092,       4.746273944
          0,           0,         193,      -2.101286487,      0.5862068366,      0.1438298544,       3.323164772,      -1.016508247,       4.743195889
          0,           0,         194,       -2.10682569,      0.5820807008,      0.1456449925,       3.316746142,       -1.02024038,       4.739759477
          0,           0,         195,      -2.112398987,      0.5780478322,        0.14745674,       3.310217814,      -1.023944653,       4.736620633
          0,           0,         196,      -2.117994479,      0.5741191843,      0.1492564393,       3.303590618,      -1.027621059,       4.732877149
          0,           0,         197,      -2.123599856,      0.5703078462,       0.151036698,       3.296875875,      -1.031270402,       4.729828586
          0,           0,         198,      -2.129202321,      0.5666245079,      0.1527904228,       3.290085545,      -1.034895807,       4.726074854
          0,           0,         199,      -2.134788511,      0.5630800106,      0.1545112676,        3.28323232,      -1.038500762,       4.722289633
          0,           0,         200,       -2.14034484,      0.5596853692,      0.1561936974,       3.276329293,      -1.042080369,       4.717920965
          0,           0,         201,      -2.145857505,      0.5564484655,      0.1578324998,        3.26939015,      -1.045633016,        4.71411089
          0,           0,         202,       -2.15131205,      0.5533798238,      0.1594230214,       3.262429334,      -1.049161913,       4.709905111
          0,           0,         203,      -2.156693826,      0.5504851667,      0.1609616169,       3.255462075,      -1.052667885,       4.706097561
          0,           0,         204,      -2.161988193,      0.5477726956,      0.1624441244,       3.248503839,      -1.056149578,       4.701943052
          0,           0,         205,      -2.167180331,      0.5452468716,      0.1638675709,       3.241570905,      -1.059608897,       4.698046278
          0,           0,         206,      -2.172255299,      0.5429129303,      0.1652298575,       3.234679785,      -1.063047687,       4.693938501
          0,           0,         207,      -2.177198664,      0.5407750481,      0.1665282047,       3.227847323,      -1.066465866,        4.69016514
          0,           0,         208,      -2.181995659,       0.538834134,      0.1677606375,       3.221091213,      -1.069863669,       4.685424596
          0,           0,         209,      -2.186631915,      0.5370940596,      0.1689260204,       3.214429201,       -1.07323889,       4.680883394
          0,           0,         210,      -2.191093571,      0.5355525223,      0.1700228436,       3.207879304,      -1.076592169,       4.676286701
          0,           0,         211,      -2.195367499,      0.5342114385,      0.1710500362,       3.201459284,      -1.079926907,       4.671844464
          0,           0,         212,      -2.199440919,      0.5330675524,      0.1720069766,       3.195187309,      -1.083240339,       4.667346169
          0,           0,         213,        -2.2033017,      0.5321191903,       0.172893312,       3.189081294,      -1.086532432,       4.662976554
          0,           0,         214,      -2.206938581,       0.531363587,      0.1737090887,        3.18315926,      -1.089805176,       4.658553559
          0,           0,         215,      -2.210341698,      0.5307942842,      0.1744534757,       3.177438107,      -1.093059394,       4.654380961
