"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         133,      -1.745834636,       1.017146775,      0.7326040584,        3.74135079,       2.279371654,       4.660183303
          0,           0,         134,      -1.746490939,       1.016322623,      0.7315669899,       3.740708279,       2.279625597,       4.661378785
          0,           0,         135,      -1.747186385,       1.015474941,      0.7304751016,       3.740021836,       2.279878391,       4.662521052
          0,           0,         136,      -1.747924086,       1.014599182,      0.7293327222,       3.739287482,        2.28013002,       4.663616257
          0,           0,         137,      -1.748691109,        1.01369912,      0.7281866763,       3.738525452,       2.280380446,       4.664663754
          0,           0,         138,        -1.7494882,       1.012773317,      0.7270336384,       3.737731947,       2.280628841,       4.665658788
          0,           0,         139,      -1.750311717,       1.011823099,      0.7258874387,       3.736911885,       2.280874822,       4.666614275
          0,           0,         140,      -1.751157625,       1.010853182,      0.7247467171,       3.736069562,       2.281119569,       4.667542559
          0,           0,         141,      -1.752036301,        1.00985168,      0.7236009804,       3.735195378,       2.281363117,       4.668441383
          0,           0,         142,      -1.752940818,       1.008827841,      0.7224525075,       3.734293685,       2.281605312,        4.66930091
          0,           0,         143,      -1.753854879,       1.007798978,      0.7213144535,       3.733378358,       2.281846081,       4.670118177
          0,           0,         144,      -1.754779787,       1.006750922,      0.7202331585,        3.73245232,       2.282085464,       4.670895572
          0,           0,         145,      -1.755725929,       1.005688729,      0.7191354255,       3.731505576,        2.28232344,       4.671631634
          0,           0,         146,      -1.756699182,       1.004608111,      0.7180140914,       3.730534233,       2.282560106,       4.672330875
          0,           0,         147,      -1.757694108,       1.003514457,      0.7168666539,       3.729540441,       2.282796141,       4.672985389
          0,           0,         148,       -1.75870762,       1.002407586,      0.7157131983,       3.728529106,        2.28303072,       4.673608103
          0,           0,         149,      -1.759742035,       1.001287419,      0.7145465329,       3.727497652,       2.283264001,       4.674197698
          0,           0,         150,      -1.760798496,       1.000153482,      0.7133619801,       3.726443486,       2.283495974,        4.67475551
          0,           0,         151,      -1.761875423,      0.9990094213,      0.7121577069,       3.725368097,       2.283726696,       4.675282289
          0,           0,         152,      -1.762974083,      0.9978563128,      0.7109219741,       3.724271083,        2.28395631,       4.675782008
          0,           0,         153,      -1.764091837,      0.9966931451,       0.709662225,        3.72315432,       2.284184642,       4.676252518
          0,           0,         154,       -1.76522281,      0.9955238846,      0.7083809402,       3.722023299,       2.284430607,       4.676788922
          0,           0,         155,      -1.766424157,      0.9942869602,      0.7070336453,       3.720823251,       2.284687178,       4.677318576
          0,           0,         156,      -1.767700618,      0.9929770166,      0.7056224618,       3.719548775,       2.284954737,       4.677837875
          0,           0,         157,      -1.769060392,      0.9915853551,      0.7041371552,       3.718195017,       2.285233696,       4.678345977
          0,           0,         158,      -1.770512682,      0.9901117226,      0.7024958915,        3.71674919,       2.285524413,       4.678836761
          0,           0,         159,      -1.772076006,      0.9885526769,      0.7006951596,       3.715193498,       2.285827283,       4.679304825
          0,           0,         160,      -1.773760319,      0.9869071966,      0.6987068856,       3.713522116,       2.286142678,       4.679749017
          0,           0,         161,      -1.775550605,      0.9851732898,      0.6966131687,       3.711753052,       2.286471052,       4.680170982
          0,           0,         162,      -1.777449997,      0.9833464091,      0.6943916078,       3.709884875,       2.286812836,       4.680558364
          0,           0,         163,      -1.779466528,      0.9814136088,      0.6920645898,       3.707902785,       2.287168374,        4.68090764
          0,           0,         164,      -1.781603676,      0.9793774369,      0.6896208796,       3.705806408,       2.287538092,        4.68121977
          0,           0,         165,      -1.783880988,      0.9772211585,      0.6870491757,        3.70358171,       2.287922191,       4.681474039
          0,           0,         166,      -1.786324923,      0.9749223948,      0.6843405968,        3.70119689,       2.288321188,       4.681681124
          0,           0,         167,      -1.788928828,      0.9724974706,      0.6814786663,       3.698667673,        2.28873458,       4.681837581
          0,           0,         168,      -1.791677955,      0.9699520471,      0.6784919669,       3.696001581,       2.289162663,       4.681944163
          0,           0,         169,      -1.794593617,       0.967265483,      0.6753673879,       3.693172724,       2.289606427,       4.681994898
          0,           0,         170,      -1.797685283,      0.9644407979,      0.6720825367,       3.690175503,        2.29006693,        4.68199288
          0,           0,         171,      -1.800950147,      0.9614969364,      0.6685963348,       3.687014063,       2.290544313,        4.68192947
          0,           0,         172,      -1.804378732,      0.9584427023,      0.6648588264,       3.683704746,       2.291038788,       4.681806235
          0,           0,         173,      -1.807981657,      0.9552592241,      0.6608799725,       3.680234507,        2.29155061,       4.681617072
          0,           0,         174,       -1.81173242,      0.9519709947,      0.6567853102,       3.676638582,       2.292080125,       4.681363495
