"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      17532,           0,          20,           1.6e-06,             5e-08,      -3.831740508,     -0.8975770387,      -1.202062112,       1.749534745,      0.5636011073,      0.6292653702
      17532,           0,          29,           1.6e-06,             5e-08,      -3.834921006,     -0.9018775188,      -1.206114226,       1.745662207,      0.5596115549,      0.6242288494
      17533,           0,           0,          1.65e-06,             5e-08,      -2.822614274,     -0.2261133018,     -0.5277351891,       2.611066157,       1.430969579,       1.990814993
      17533,           0,          10,          1.65e-06,             5e-08,      -3.826943836,     -0.8920033957,       -1.19707163,       1.754880496,      0.5686217129,      0.6482579262
      17533,           0,          20,          1.65e-06,             5e-08,      -3.831721421,      -0.897581379,       -1.20211716,       1.749540703,      0.5636108585,       0.629290171
      17533,           0,          29,          1.65e-06,             5e-08,      -3.834901178,      -0.901881833,      -1.206169243,       1.745668506,      0.5596214259,      0.6242513759
      17534,           0,           0,           1.7e-06,             5e-08,      -2.822593233,     -0.2260683134,     -0.5277279663,       2.611077675,       1.430840126,       1.990342616
      17534,           0,          10,           1.7e-06,             5e-08,      -3.826925723,     -0.8920077521,      -1.197125563,       1.754886165,      0.5686315299,      0.6482799844
      17534,           0,          20,           1.7e-06,             5e-08,      -3.831702339,     -0.8975857228,      -1.202171244,       1.749546696,      0.5636207522,      0.6293163472
      17534,           0,          29,           1.7e-06,             5e-08,      -3.834881351,     -0.9018861507,      -1.206223101,       1.745674842,      0.5596314349,      0.6242741467
      17535,           0,           0,          1.75e-06,             5e-08,      -2.822571845,     -0.2260233556,     -0.5277220475,       2.611089458,       1.430710959,       1.989870272
      17535,           0,          10,          1.75e-06,             5e-08,      -3.826907608,     -0.8920121122,       -1.19717824,       1.754891864,      0.5686414709,      0.6483187225
      17535,           0,          20,          1.75e-06,             5e-08,       -3.83168326,       -0.89759007,      -1.202224091,       1.749552721,      0.5636307764,      0.6293429661
      17535,           0,          29,          1.75e-06,             5e-08,      -3.834861521,     -0.9018904716,      -1.206275885,       1.745681219,       0.559641589,        0.62429717
      17536,           0,           0,           1.8e-06,             5e-08,      -2.822549955,     -0.2259783492,     -0.5277165854,       2.611101666,       1.430582084,       1.989398913
      17536,           0,          10,           1.8e-06,             5e-08,      -3.826889488,     -0.8920164758,      -1.197229621,       1.754897592,      0.5686515324,      0.6483803623
      17536,           0,          20,           1.8e-06,             5e-08,      -3.831664169,     -0.8975944204,      -1.202275651,       1.749558784,       0.563640921,      0.6293696708
      17536,           0,          29,           1.8e-06,             5e-08,      -3.834841674,     -0.9018947952,      -1.206327469,       1.745687638,      0.5596518609,      0.6243204217
      17537,           0,           0,          1.85e-06,             5e-08,      -2.822527853,     -0.2259335763,     -0.5277092458,       2.611113909,       1.430453505,       1.988931323
      17537,           0,          10,          1.85e-06,             5e-08,      -3.826871354,     -0.8920208426,      -1.197279665,       1.754903352,      0.5686616973,      0.6484602345
      17537,           0,          20,          1.85e-06,             5e-08,      -3.831645063,     -0.8975987737,      -1.202325882,       1.749564884,      0.5636511717,      0.6293964494
      17537,           0,          29,          1.85e-06,             5e-08,      -3.834821813,     -0.9018991215,      -1.206377743,       1.745694095,      0.5596622385,      0.6243438428
      17538,           0,           0,           1.9e-06,             5e-08,      -2.822505673,     -0.2258891019,     -0.5277002944,       2.611126052,       1.430325301,       1.988468362
      17538,           0,          10,           1.9e-06,             5e-08,       -3.82685321,     -0.8920252123,      -1.197328349,       1.754909139,      0.5686719604,      0.6485390704
      17538,           0,          20,           1.9e-06,             5e-08,      -3.831625938,     -0.8976031296,      -1.202374757,       1.749571022,      0.5636615231,      0.6294228844
      17538,           0,          29,           1.9e-06,             5e-08,      -3.834801932,     -0.9019034503,      -1.206426677,       1.745700591,      0.5596727167,      0.6243674886
      17539,           0,           0,          1.95e-06,             5e-08,      -2.822483454,     -0.2258449505,     -0.5276900666,       2.611138076,       1.430197504,       1.988008672
      17539,           0,          10,          1.95e-06,             5e-08,      -3.826835049,     -0.8920295849,      -1.197375664,       1.754914957,      0.5686823175,      0.6486032748
      17539,           0,          20,          1.95e-06,             5e-08,      -3.831606792,      -0.897607488,      -1.202422265,       1.749577197,      0.5636719707,      0.6294496844
      17539,           0,          29,          1.95e-06,             5e-08,      -3.834782032,     -0.9019077813,      -1.206474255,       1.745707125,      0.5596832906,       0.624391318
      17540,           0,           0,             2e-06,             5e-08,      -2.822461225,     -0.2258011328,     -0.5276788576,       2.611149956,        1.43007003,       1.987549831
      17540,           0,          10,             2e-06,             5e-08,      -3.826816868,     -0.8920339601,      -1.197421603,       1.754920806,      0.5686927641,      0.6486606098
      17540,           0,          20,             2e-06,             5e-08,      -3.831587622,     -0.8976118487,      -1.202468402,        1.74958341,      0.5636825097,      0.6294767876
      17540,           0,          29,             2e-06,             5e-08,       -3.83476211,     -0.9019121144,      -1.206520477,       1.745713697,      0.5596939558,      0.6244153127
      17541,           0,           0,          2.05e-06,             5e-08,      -2.822439011,     -0.2257576528,     -0.5276668891,       2.611161664,       1.429942861,       1.987091289
      17541,           0,          10,          2.05e-06,             5e-08,      -3.826798665,     -0.8920383377,      -1.197466181,       1.754926684,       0.568703296,      0.6487229679
      17541,           0,          20,          2.05e-06,             5e-08,      -3.827029176,     -0.8943091249,      -1.202124265,       1.752635898,      0.5636931357,      0.6495078633
      17541,           0,          29,          2.05e-06,             5e-08,      -3.834742165,     -0.9019164493,      -1.206565352,       1.745720304,      0.5597047078,      0.6244394607
      17542,           0,           0,           2.1e-06,             5e-08,      -2.822416832,     -0.2257145216,      -0.527654318,       2.611173191,        1.42981599,       1.986633814
